city,visited,visit
深圳市,55,4
杭州市,40,6
苏州市,33,6
广州市,28,10
上海市,27,1
徐州市,24,9
南京市,22,10
湖州市,21,6
福州市,17,3
无锡市,15,4
天津市,15,1
长沙市,14,7
贵阳市,12,5
厦门市,12,5
常州市,12,5
东莞市,12,8
佛山市,12,7
珠海市,11,4
武汉市,11,4
宁波市,11,14
南昌市,10,3
北京市,10,1
绍兴市,10,4
重庆市,10,1
丽水市,10,6
南通市,9,4
肇庆市,9,27
合肥市,9,8
郑州市,9,5
嘉兴市,8,6
金华市,8,2
淮安市,8,9
成都市,8,1
遵义市,8,4
台州市,7,3
赣州市,7,8
湛江市,7,11
株洲市,7,6
青岛市,7,4
塔城地区,7,0
扬州市,7,6
西安市,7,9
常德市,6,4
汕头市,6,5
沈阳市,6,3
镇江市,6,5
宿迁市,6,6
毕节市,6,11
盐城市,6,3
潮州市,5,4
雄安新区,5,0
茂名市,5,7
揭阳市,5,5
中山市,5,3
泰州市,5,5
贵安新区,5,0
滁州市,5,15
衢州市,5,2
咸阳市,5,7
温州市,4,8
阳江市,4,3
江门市,4,1
安顺市,4,1
六盘水市,4,3
惠州市,4,4
桂林市,4,4
临沂市,4,7
芜湖市,4,2
黔西南布依族苗族自治州,4,2
黔东南苗族侗族自治州,4,3
泸州市,4,1
襄阳市,4,2
哈密市,4,0
荆门市,4,2
湘西土家族苗族自治州,4,2
郴州市,4,2
宝鸡市,4,3
舟山市,4,3
九江市,4,2
上饶市,4,5
漳州市,3,4
宁德市,3,8
抚州市,3,10
三亚市,3,3
永州市,3,10
柳州市,3,6
清远市,3,13
云浮市,3,4
东营市,3,1
威海市,3,7
洛阳市,3,2
西宁市,3,6
广安市,3,1
滨州市,3,8
浦东新区,3,0
黄山市,3,1
宜宾市,3,1
秦皇岛市,3,1
渭南市,3,1
宜昌市,3,2
防城港市,3,2
湘潭市,3,2
济宁市,3,9
新余市,3,5
吉安市,3,11
自贡市,3,1
鹰潭市,3,4
黄冈市,2,3
定西市,2,2
宜春市,2,11
泉州市,2,2
琼海市,2,0
海口市,2,4
崇左市,2,2
南宁市,2,1
河源市,2,6
伊春市,2,3
丹东市,2,2
营口市,2,2
潍坊市,2,2
牡丹江市,2,2
延边朝鲜族自治州,2,1
哈尔滨市,2,3
海北藏族自治州,2,4
连云港市,2,6
聊城市,2,4
阿勒泰地区,2,0
南充市,2,1
阜阳市,2,2
烟台市,2,3
宿州市,2,2
蚌埠市,2,5
马鞍山市,2,8
乌鲁木齐市,2,1
昆明市,2,4
曲靖市,2,3
滨海新区,2,0
银川市,2,1
承德市,2,1
濮阳市,2,1
安庆市,2,10
荆州市,2,2
岳阳市,2,3
邵阳市,2,4
衡阳市,2,2
铜仁市,2,3
宣城市,2,3
淄博市,2,4
长春市,2,4
丽江市,2,2
大理白族自治州,2,1
广元市,2,1
德阳市,2,1
内江市,2,1
眉山市,2,1
雅安市,2,1
莆田市,2,4
陇南市,2,2
龙岩市,2,4
钦州市,2,5
北海市,2,1
景德镇市,2,3
信阳市,1,1
贺州市,1,1
梅州市,1,6
双鸭山市,1,1
汕尾市,1,3
绥化市,1,2
玉林市,1,2
鹤岗市,1,3
赤峰市,1,1
葫芦岛市,1,2
石河子市,1,0
大庆市,1,3
邢台市,1,3
新乡市,1,1
海西蒙古族藏族自治州,1,4
唐山市,1,6
铜陵市,1,2
淮北市,1,9
昭通市,1,6
张家口市,1,4
邯郸市,1,1
沧州市,1,3
资阳市,1,1
许昌市,1,3
平顶山市,1,2
运城市,1,1
临汾市,1,1
孝感市,1,3
绵阳市,1,15
张家界市,1,8
吐鲁番市,1,0
海东市,1,5
克孜勒苏柯尔克孜自治州,1,0
日照市,1,1
铁岭市,1,2
铜川市,1,3
榆林市,1,1
拉萨市,1,1
延安市,1,7
吕梁市,1,6
喀什地区,1,0
齐齐哈尔市,1,2
德州市,1,3
迪庆藏族自治州,1,4
文山壮族苗族自治州,1,2
攀枝花市,1,1
楚雄彝族自治州,1,2
怒江傈僳族自治州,1,1
玉溪市,1,2
吴忠市,1,1
达州市,1,1
乐山市,1,1
四平市,1,2
阿坝藏族羌族自治州,1,0
那曲市,1,0
辽源市,1,4
遂宁市,1,1
安康市,1,2
益阳市,1,5
十堰市,1,6
河池市,1,3
贵港市,1,2
韶关市,1,3
萍乡市,1,4
鄂州市,1,1
咸宁市,1,4
娄底市,1,3
七台河市,1,2
三明市,1,2
三沙市,1,1
三门峡市,1,7
中卫市,1,1
临沧市,1,5
乌兰察布市,1,1
乌海市,1,1
亳州市,1,1
佳木斯市,1,2
保定市,1,5
保山市,1,1
克拉玛依市,1,1
六安市,1,1
兰州市,1,2
包头市,1,1
南平市,1,3
南阳市,1,2
吉林市,1,7
周口市,1,1
呼伦贝尔市,1,1
呼和浩特市,1,1
商丘市,1,3
商洛市,1,2
嘉峪关市,1,1
固原市,1,1
大同市,1,1
大连市,1,2
天水市,1,2
太原市,1,1
安阳市,1,1
巴中市,1,1
巴彦淖尔市,1,1
平凉市,1,4
庆阳市,1,1
廊坊市,1,3
开封市,1,3
张掖市,1,1
忻州市,1,1
怀化市,1,7
抚顺市,1,2
晋中市,1,1
晋城市,1,1
普洱市,1,1
朔州市,1,1
朝阳市,1,2
本溪市,1,2
来宾市,1,1
松原市,1,1
枣庄市,1,4
梧州市,1,5
武威市,1,1
汉中市,1,2
池州市,1,2
泰安市,1,2
济南市,1,4
淮南市,1,1
漯河市,1,2
焦作市,1,7
白城市,1,1
白山市,1,1
白银市,1,4
百色市,1,2
盘锦市,1,2
石嘴山市,1,1
石家庄市,1,7
莱芜市,1,5
菏泽市,1,3
衡水市,1,3
辽阳市,1,2
通化市,1,1
通辽市,1,1
鄂尔多斯市,1,1
酒泉市,1,1
金昌市,1,1
锦州市,1,2
长治市,1,1
阜新市,1,2
阳泉市,1,1
随州市,1,2
鞍山市,1,2
驻马店市,1,1
鸡西市,1,3
鹤壁市,1,2
黄石市,1,2
黑河市,1,2
黄南藏族自治州,0,1
德宏傣族景颇族自治州,0,1
果洛藏族自治州,0,2
济源市,0,5
西双版纳傣族自治州,0,1
海南藏族自治州,0,4
儋州市,0,1
黔南布依族苗族自治州,0,5
玉树藏族自治州,0,1
甘南藏族自治州,0,2
